 נתונים היסטוריים  - תוך יומי ת"א-35,,,
נכון ל- 02/08/2018 17:24:25
שעה,מדד אחרון,שלב מסחר,שינוי (%)
17:24:25,1578.00,ק,-0.57
16:54:22,1579.17,,-0.50
16:54:07,1579.12,,-0.50
16:53:52,1579.53,,-0.47
16:53:37,1579.71,,-0.46
16:53:22,1579.09,,-0.50
16:53:07,1579.25,,-0.49
16:52:52,1579.88,,-0.45
16:52:37,1579.03,,-0.50
16:52:22,1579.06,,-0.50
16:52:07,1579.49,,-0.48
16:51:52,1579.65,,-0.47
16:51:37,1579.21,,-0.49
16:51:22,1579.44,,-0.48
16:51:07,1579.33,,-0.49
16:50:52,1579.47,,-0.48
16:50:37,1579.73,,-0.46
16:50:22,1578.89,,-0.51
16:50:07,1579.26,,-0.49
16:49:52,1579.25,,-0.49
16:49:37,1579.48,,-0.48
16:49:22,1579.59,,-0.47
16:49:07,1579.91,,-0.45
16:48:52,1579.86,,-0.45
16:48:37,1579.68,,-0.46
16:48:22,1579.15,,-0.50
16:48:07,1578.64,,-0.53
16:47:52,1579.18,,-0.49
16:47:37,1579.01,,-0.51
16:47:22,1579.02,,-0.50
16:47:07,1579.11,,-0.50
16:46:52,1579.68,,-0.46
16:46:37,1579.84,,-0.45
16:46:22,1579.16,,-0.50
16:46:07,1579.32,,-0.49
16:45:52,1579.80,,-0.46
16:45:37,1579.18,,-0.49
16:45:22,1579.81,,-0.45
16:45:07,1578.90,,-0.51
16:44:52,1580.19,,-0.43
16:44:37,1580.74,,-0.40
16:44:22,1579.78,,-0.46
16:44:07,1580.04,,-0.44
16:43:52,1580.50,,-0.41
16:43:37,1580.66,,-0.40
16:43:22,1580.83,,-0.39
16:43:07,1580.57,,-0.41
16:42:52,1580.40,,-0.42
16:42:37,1580.14,,-0.43
16:42:22,1579.77,,-0.46
16:42:07,1579.99,,-0.44
16:41:52,1579.95,,-0.45
16:41:37,1579.57,,-0.47
16:41:22,1579.67,,-0.46
16:41:07,1579.55,,-0.47
16:40:52,1578.74,,-0.52
16:40:37,1579.44,,-0.48
16:40:22,1580.23,,-0.43
16:40:07,1578.84,,-0.52
16:39:52,1579.07,,-0.50
16:39:37,1579.43,,-0.48
16:39:22,1579.21,,-0.49
16:39:07,1579.13,,-0.50
16:38:52,1579.36,,-0.48
16:38:37,1579.56,,-0.47
16:38:22,1579.55,,-0.47
16:38:07,1580.14,,-0.43
16:37:52,1579.68,,-0.46
16:37:37,1578.85,,-0.52
16:37:22,1579.15,,-0.50
16:37:07,1580.48,,-0.41
16:36:52,1579.73,,-0.46
16:36:37,1579.30,,-0.49
16:36:22,1579.22,,-0.49
16:36:07,1579.20,,-0.49
16:35:52,1579.59,,-0.47
16:35:37,1579.86,,-0.45
16:35:22,1580.12,,-0.44
16:35:07,1580.47,,-0.41
16:34:52,1580.66,,-0.40
16:34:37,1580.66,,-0.40
16:34:22,1580.90,,-0.39
16:34:07,1581.26,,-0.36
16:33:52,1581.68,,-0.34
16:33:37,1581.19,,-0.37
16:33:22,1580.83,,-0.39
16:33:07,1580.78,,-0.39
16:32:52,1580.69,,-0.40
16:32:37,1579.81,,-0.45
16:32:22,1579.76,,-0.46
16:32:07,1580.20,,-0.43
16:31:52,1579.86,,-0.45
16:31:37,1579.71,,-0.46
16:31:22,1579.90,,-0.45
16:31:07,1579.68,,-0.46
16:30:52,1578.95,,-0.51
16:30:37,1579.28,,-0.49
16:30:22,1579.82,,-0.45
16:30:07,1579.69,,-0.46
16:29:52,1580.52,,-0.41
16:29:37,1580.68,,-0.40
16:29:22,1580.44,,-0.42
16:29:07,1580.57,,-0.41
16:28:52,1580.99,,-0.38
16:28:37,1580.89,,-0.39
16:28:22,1580.53,,-0.41
16:28:07,1580.53,,-0.41
16:27:52,1580.87,,-0.39
16:27:37,1580.19,,-0.43
16:27:22,1580.21,,-0.43
16:27:07,1580.23,,-0.43
16:26:52,1579.99,,-0.44
16:26:37,1579.91,,-0.45
16:26:22,1579.98,,-0.44
16:26:07,1580.05,,-0.44
16:25:52,1579.95,,-0.45
16:25:37,1579.76,,-0.46
16:25:22,1579.82,,-0.45
16:25:07,1579.93,,-0.45
16:24:52,1580.06,,-0.44
16:24:37,1580.34,,-0.42
16:24:22,1580.27,,-0.43
16:24:07,1579.82,,-0.45
16:23:52,1579.76,,-0.46
16:23:37,1579.94,,-0.45
16:23:22,1579.77,,-0.46
16:23:07,1580.02,,-0.44
16:22:52,1579.99,,-0.44
16:22:37,1580.18,,-0.43
16:22:22,1580.12,,-0.44
16:22:07,1579.99,,-0.44
16:21:52,1579.90,,-0.45
16:21:37,1579.73,,-0.46
16:21:22,1579.99,,-0.44
16:21:07,1579.86,,-0.45
16:20:52,1579.95,,-0.45
16:20:37,1579.78,,-0.46
16:20:22,1579.87,,-0.45
16:20:07,1580.12,,-0.44
16:19:52,1580.15,,-0.43
16:19:37,1579.56,,-0.47
16:19:22,1579.84,,-0.45
16:19:07,1580.09,,-0.44
16:18:52,1579.50,,-0.47
16:18:37,1578.64,,-0.53
16:18:22,1578.61,,-0.53
16:18:07,1578.77,,-0.52
16:17:52,1578.87,,-0.51
16:17:37,1578.88,,-0.51
16:17:22,1578.74,,-0.52
16:17:07,1578.64,,-0.53
16:16:52,1578.76,,-0.52
16:16:37,1578.74,,-0.52
16:16:22,1578.93,,-0.51
16:16:07,1578.67,,-0.53
16:15:52,1578.76,,-0.52
16:15:37,1578.85,,-0.52
16:15:22,1578.89,,-0.51
16:15:07,1579.13,,-0.50
16:14:52,1579.04,,-0.50
16:14:37,1579.33,,-0.49
16:14:22,1579.18,,-0.49
16:14:07,1579.31,,-0.49
16:13:52,1579.55,,-0.47
16:13:37,1579.12,,-0.50
16:13:22,1579.00,,-0.51
16:13:07,1579.34,,-0.48
16:12:52,1579.33,,-0.49
16:12:37,1579.12,,-0.50
16:12:22,1578.82,,-0.52
16:12:07,1578.87,,-0.51
16:11:52,1578.96,,-0.51
16:11:37,1579.22,,-0.49
16:11:22,1578.80,,-0.52
16:11:07,1578.42,,-0.54
16:10:52,1578.38,,-0.55
16:10:37,1578.13,,-0.56
