 נתונים היסטוריים  - תוך יומי ת"א-35,,,
נכון ל- 14/08/2018 17:24:07
שעה,מדד אחרון,שלב מסחר,שינוי (%)
17:24:07,1576.31,ק,-0.26
17:14:28,1575.31,,-0.32
17:14:13,1575.42,,-0.31
17:13:58,1575.49,,-0.31
17:13:43,1575.15,,-0.33
17:13:28,1575.23,,-0.33
17:13:13,1575.19,,-0.33
17:12:58,1575.11,,-0.33
17:12:43,1574.80,,-0.35
17:12:28,1574.58,,-0.37
17:12:13,1574.58,,-0.37
17:11:58,1575.09,,-0.33
17:11:43,1574.63,,-0.36
17:11:28,1574.21,,-0.39
17:11:13,1574.35,,-0.38
17:10:58,1574.59,,-0.37
17:10:43,1574.55,,-0.37
17:10:28,1574.34,,-0.38
17:10:13,1573.82,,-0.41
17:09:58,1573.65,,-0.43
17:09:43,1573.78,,-0.42
17:09:28,1573.97,,-0.40
17:09:13,1573.83,,-0.41
17:08:58,1573.56,,-0.43
17:08:43,1573.52,,-0.43
17:08:28,1573.57,,-0.43
17:08:13,1573.87,,-0.41
17:07:58,1573.71,,-0.42
17:07:43,1573.59,,-0.43
17:07:28,1574.10,,-0.40
17:07:13,1574.28,,-0.39
17:06:58,1574.56,,-0.37
17:06:43,1574.44,,-0.38
17:06:28,1575.01,,-0.34
17:06:13,1574.63,,-0.36
17:05:58,1574.34,,-0.38
17:05:43,1574.43,,-0.38
17:05:28,1574.40,,-0.38
17:05:13,1575.09,,-0.33
17:04:58,1575.07,,-0.34
17:04:43,1575.46,,-0.31
17:04:28,1576.22,,-0.26
17:04:13,1576.27,,-0.26
17:03:58,1576.30,,-0.26
17:03:43,1576.15,,-0.27
17:03:28,1576.12,,-0.27
17:03:13,1576.21,,-0.26
17:02:58,1576.30,,-0.26
17:02:43,1576.48,,-0.25
17:02:28,1576.21,,-0.26
17:02:13,1576.00,,-0.28
17:01:58,1576.29,,-0.26
17:01:43,1576.18,,-0.27
17:01:28,1576.14,,-0.27
17:01:13,1576.22,,-0.26
