 נתונים היסטוריים  - תוך יומי ת"א-35,,,
נכון ל- 07/08/2018 17:24:52
שעה,מדד אחרון,שלב מסחר,שינוי (%)
17:24:52,1606.96,ק,0.13
17:14:13,1605.39,,0.03
17:13:58,1605.46,,0.03
17:13:43,1605.73,,0.05
17:13:28,1605.29,,0.02
17:13:13,1604.99,,0.00
17:12:58,1604.91,,0.00
17:12:43,1605.06,,0.01
17:12:28,1605.47,,0.03
17:12:13,1606.01,,0.07
17:11:58,1606.05,,0.07
17:11:43,1606.13,,0.08
17:11:28,1606.23,,0.08
17:11:13,1606.34,,0.09
17:10:58,1606.54,,0.10
17:10:43,1606.28,,0.08
17:10:28,1605.90,,0.06
17:10:13,1606.02,,0.07
17:09:58,1605.89,,0.06
17:09:43,1605.57,,0.04
17:09:28,1605.36,,0.03
17:09:13,1605.28,,0.02
17:08:58,1605.29,,0.02
17:08:43,1605.14,,0.01
17:08:28,1605.13,,0.01
17:08:13,1605.11,,0.01
17:07:58,1604.96,,0.00
17:07:43,1604.78,,-0.01
17:07:28,1604.58,,-0.02
17:07:13,1604.68,,-0.01
17:06:58,1604.75,,-0.01
17:06:43,1604.77,,-0.01
17:06:28,1604.78,,-0.01
17:06:13,1604.86,,0.00
17:05:58,1604.86,,0.00
17:05:43,1604.84,,0.00
17:05:28,1605.04,,0.01
17:05:13,1604.58,,-0.02
17:04:58,1604.55,,-0.02
17:04:43,1604.45,,-0.03
17:04:28,1604.35,,-0.04
17:04:13,1604.26,,-0.04
17:03:58,1604.58,,-0.02
17:03:43,1604.56,,-0.02
17:03:28,1604.73,,-0.01
17:03:13,1604.76,,-0.01
17:02:58,1604.73,,-0.01
17:02:43,1604.50,,-0.03
17:02:28,1604.78,,-0.01
17:02:13,1604.22,,-0.04
17:01:58,1604.27,,-0.04
17:01:43,1604.47,,-0.03
17:01:28,1604.97,,0.00
17:01:13,1604.94,,0.00
17:00:58,1605.10,,0.01
17:00:43,1605.02,,0.01
17:00:28,1605.03,,0.01
17:00:13,1604.88,,0.00
16:59:58,1604.93,,0.00
16:59:43,1605.17,,0.02
16:59:28,1605.78,,0.05
16:59:13,1605.74,,0.05
